country,country_name,type,level,2016,2017,2018
PT,Portugal,Solar,Level 1,870.6030000000001,991.546,974.0
PT,Portugal,Geothermal,Level 1,152.0,193.007,205.0
PT,Portugal,Other,Level 1,0.0,0.0,0.0
RO,Romania,Conventional thermal,Level 1,23304.0,24923.065,22611.0
RO,Romania,Nuclear,Level 1,10366.0,10557.906,10443.0
RO,Romania,Hydro,Level 1,18239.0,14687.531,17653.0
RO,Romania,Pumped hydro power,Level 2,507.0,357.788,0.0
RO,Romania,Wind,Level 1,6527.0,7331.254,6261.0
RO,Romania,Solar,Level 1,1820.0,1855.674,1754.0
RO,Romania,Geothermal,Level 1,0.0,0.0,0.0
RO,Romania,Other,Level 1,0.0,0.0,0.0
SI,Slovenia,Conventional thermal,Level 1,5121.0,5054.639999999999,4703.068
SI,Slovenia,Nuclear,Level 1,5431.0,5967.827,5489.905999999999
SI,Slovenia,Hydro,Level 1,4721.0,4085.015,4831.147
SI,Slovenia,Pumped hydro power,Level 2,278.0,271.498,187.919
SI,Slovenia,Wind,Level 1,6.0,5.716,6.02
SI,Slovenia,Solar,Level 1,267.0,283.678,254.113
SI,Slovenia,Geothermal,Level 1,0.0,0.0,0.0
SI,Slovenia,Other,Level 1,0.0,0.0,0.0
SK,Slovakia,Conventional thermal,Level 1,6065.0,6417.0,5426.0
SK,Slovakia,Nuclear,Level 1,13732.0,14016.0,13807.0
SK,Slovakia,Hydro,Level 1,4549.0,4620.0,3838.0
SK,Slovakia,Pumped hydro power,Level 2,247.0,299.0,293.0
SK,Slovakia,Wind,Level 1,6.0,6.0,5.0
SK,Slovakia,Solar,Level 1,533.0,506.0,586.0
SK,Slovakia,Geothermal,Level 1,0.0,0.0,0.0
SK,Slovakia,Other,Level 1,112.0,127.0,55.0
FI,Finland,Conventional thermal,Level 1,24950.0,23681.0,26425.0
FI,Finland,Nuclear,Level 1,22280.0,21574.0,21890.0
FI,Finland,Hydro,Level 1,15634.0,14610.0,13158.674
FI,Finland,Pumped hydro power,Level 2,0.0,0.0,0.0
FI,Finland,Wind,Level 1,3068.0,4795.0,5861.0
FI,Finland,Solar,Level 1,19.0,43.0,89.0
FI,Finland,Geothermal,Level 1,0.0,0.0,0.0
FI,Finland,Other,Level 1,249.0,335.0,0.0
SE,Sweden,Conventional thermal,Level 1,14621.0,15003.0,14869.986
SE,Sweden,Nuclear,Level 1,60524.0,63008.0,65801.155
SE,Sweden,Hydro,Level 1,61764.0,64676.0,60977.60199999999
SE,Sweden,Pumped hydro power,Level 2,119.0,25.0,0.0
SE,Sweden,Wind,Level 1,15479.0,17609.0,16638.345
SE,Sweden,Solar,Level 1,143.0,230.0,0.0
SE,Sweden,Geothermal,Level 1,0.0,0.0,0.0
SE,Sweden,Other,Level 1,0.0,0.0,0.0
UK,,Conventional thermal,Level 1,203165.188,189296.528,180837.905
UK,,Nuclear,Level 1,65149.08,63886.86,59097.753
UK,,Hydro,Level 1,8286.51,8723.43,7678.659000000001
UK,,Pumped hydro power,Level 2,2948.89,2862.01,2515.998
UK,,Wind,Level 1,37262.699,50003.654,56903.96100000001
UK,,Solar,Level 1,10410.948,11524.87,12857.348999999998
UK,,Geothermal,Level 1,0.0,0.0,0.0
UK,,Other,Level 1,0.0,0.0,0.0
NO,Norway,Conventional thermal,Level 1,3212.0,3233.0,3457.28
NO,Norway,Nuclear,Level 1,0.0,0.0,0.0
NO,Norway,Hydro,Level 1,143442.0,142276.0,139512.026
NO,Norway,Pumped hydro power,Level 2,999.0,1157.0,3490.918
NO,Norway,Wind,Level 1,2116.0,2852.0,3875.881
NO,Norway,Solar,Level 1,0.0,0.0,0.0
NO,Norway,Geothermal,Level 1,0.0,0.0,0.0
NO,Norway,Other,Level 1,297.0,281.0,0.0
ME,Montenegro,Conventional thermal,Level 1,1216.0,1265.0,1444.0
ME,Montenegro,Nuclear,Level 1,0.0,0.0,0.0
ME,Montenegro,Hydro,Level 1,1807.0,1003.8,2137.0
ME,Montenegro,Pumped hydro power,Level 2,0.0,0.0,0.0
ME,Montenegro,Wind,Level 1,0.0,95.0,162.0
ME,Montenegro,Solar,Level 1,0.0,0.0,0.0
ME,Montenegro,Geothermal,Level 1,0.0,0.0,0.0
ME,Montenegro,Other,Level 1,0.0,0.0,0.0
